"Frequency","Power"
5.17875e+09,-91.3422
5.17875e+09,-95.7621
5.17875e+09,-85.7399
5.17875e+09,-83.1324
5.17875e+09,-86.0383
5.17875e+09,-90.1569
5.17875e+09,-101.35
5.17875e+09,-89.8026
5.17875e+09,-88.1495
5.17876e+09,-91.4128
5.17876e+09,-99.6084
5.17876e+09,-98.7236
5.17876e+09,-91.0106
5.17876e+09,-83.3741
5.17876e+09,-82.725
5.17876e+09,-88.5114
5.17876e+09,-88.608
5.17876e+09,-93.5815
5.17876e+09,-89.1478
5.17876e+09,-84.1597
5.17876e+09,-83.6816
5.17876e+09,-84.8383
5.17876e+09,-85.0766
5.17876e+09,-91.9461
5.17876e+09,-87.5648
5.17876e+09,-85.1439
5.17876e+09,-93.7181
5.17876e+09,-91.7696
5.17876e+09,-84.8709
5.17877e+09,-93.4656
5.17877e+09,-89.6499
5.17877e+09,-99.8805
5.17877e+09,-98.2394
5.17877e+09,-90.8637
5.17877e+09,-86.7042
5.17877e+09,-83.2222
5.17877e+09,-84.6368
5.17877e+09,-93.6927
5.17877e+09,-94.5752
5.17877e+09,-89.1928
5.17877e+09,-88.1119
5.17877e+09,-89.2189
5.17877e+09,-95.8696
5.17877e+09,-87.7866
5.17877e+09,-82.7753
5.17877e+09,-85.6922
5.17877e+09,-91.2559
5.17877e+09,-88.4269
5.17878e+09,-96.4991
5.17878e+09,-94.4646
5.17878e+09,-82.6995
5.17878e+09,-78.4427
5.17878e+09,-80.2277
5.17878e+09,-86.0239
5.17878e+09,-86.4047
5.17878e+09,-84.7956
5.17878e+09,-81.229
5.17878e+09,-82.645
5.17878e+09,-86.5718
5.17878e+09,-87.7982
5.17878e+09,-86.517
5.17878e+09,-89.6771
5.17878e+09,-91.0022
5.17878e+09,-94.725
5.17878e+09,-89.138
5.17878e+09,-91.6365
5.17878e+09,-91.1453
5.17878e+09,-86.3074
5.17879e+09,-85.0849
5.17879e+09,-92.8241
5.17879e+09,-81.7213
5.17879e+09,-81.418
5.17879e+09,-82.73
5.17879e+09,-83.8536
5.17879e+09,-88.095
5.17879e+09,-94.6004
5.17879e+09,-85.0937
5.17879e+09,-84.765
5.17879e+09,-86.3405
5.17879e+09,-86.3011
5.17879e+09,-89.8907
5.17879e+09,-91.2697
5.17879e+09,-88.1627
5.17879e+09,-83.597
5.17879e+09,-86.1877
5.17879e+09,-92.7568
5.17879e+09,-89.4758
5.1788e+09,-88.9735
5.1788e+09,-91.2159
5.1788e+09,-94.1076
5.1788e+09,-87.8501
5.1788e+09,-89.1515
5.1788e+09,-105.117
5.1788e+09,-94.2408
5.1788e+09,-93.364
5.1788e+09,-91.006
5.1788e+09,-88.1728
5.1788e+09,-83.833
5.1788e+09,-85.3238
5.1788e+09,-90.9121
5.1788e+09,-89.4341
5.1788e+09,-93.1136
5.1788e+09,-91.2743
5.1788e+09,-89.6773
5.1788e+09,-85.7746
5.1788e+09,-91.0393
5.1788e+09,-90.3694
5.17881e+09,-87.1391
5.17881e+09,-87.3558
5.17881e+09,-87.5532
5.17881e+09,-86.3259
5.17881e+09,-89.5831
5.17881e+09,-86.7073
5.17881e+09,-85.1881
5.17881e+09,-94.9631
5.17881e+09,-84.722
5.17881e+09,-84.3845
5.17881e+09,-86.4134
5.17881e+09,-88.1707
5.17881e+09,-88.4157
5.17881e+09,-87.5305
5.17881e+09,-91.8036
5.17881e+09,-86.6062
5.17881e+09,-98.0469
5.17881e+09,-94.4561
5.17881e+09,-83.393
5.17881e+09,-86.5888
5.17882e+09,-88.7111
5.17882e+09,-92.1633
5.17882e+09,-95.6577
5.17882e+09,-88.5183
5.17882e+09,-99.9775
5.17882e+09,-86.412
5.17882e+09,-81.1038
5.17882e+09,-82.0054
5.17882e+09,-83.0449
5.17882e+09,-83.237
5.17882e+09,-87.482
5.17882e+09,-85.5507
5.17882e+09,-80.6532
5.17882e+09,-82.7922
5.17882e+09,-95.0445
5.17882e+09,-91.2206
5.17882e+09,-84.949
5.17882e+09,-86.4705
5.17882e+09,-86.4961
5.17883e+09,-89.9828
5.17883e+09,-93.55
5.17883e+09,-93.7582
5.17883e+09,-86.7568
5.17883e+09,-90.6875
5.17883e+09,-88.99
5.17883e+09,-92.1625
5.17883e+09,-89.0232
5.17883e+09,-88.3963
5.17883e+09,-91.9128
5.17883e+09,-85.1561
5.17883e+09,-84.0944
5.17883e+09,-89.2147
5.17883e+09,-88.6101
5.17883e+09,-87.0645
5.17883e+09,-89.8088
5.17883e+09,-97.5521
5.17883e+09,-90.7122
5.17883e+09,-89.5184
5.17883e+09,-88.078
5.17884e+09,-91.6702
5.17884e+09,-88.9902
5.17884e+09,-85.1237
5.17884e+09,-85.7001
5.17884e+09,-93.3223
5.17884e+09,-98.1688
5.17884e+09,-106.947
5.17884e+09,-97.8637
5.17884e+09,-100.79
5.17884e+09,-89.7991
5.17884e+09,-85.9013
5.17884e+09,-85.267
5.17884e+09,-86.8227
5.17884e+09,-90.9688
5.17884e+09,-89.4106
5.17884e+09,-92.2443
